"ano","producao_total","processamento_total","comercializacao_total","importacao_qtd","importacao_valor","exportacao_qtd","exportacao_valor"
1970,"512740100","58613538","265694161","9445691","4008026","141592","43884"
1971,"386855770","66362140","300842084","8780914","4126997","291096","87066"
1972,"367712034","57744588","320672606","9982090","5658319","504842","191784"
1973,"314793348","40855150","329406346","10466782","8544124","1120589","609080"
1974,"546848806","86167446","277835670","10820833","9120737","835988","600368"
1975,"540917884","103911170","311049389","10739549","8697765","1339031","692787"
1976,"403982080","100141452","400452354","13892443","10977272","1159927","592851"
1977,"521281210","115010388","402937393","15567694","13764633","2271167","1346882"
1978,"556824758","105084722","410410727","18040817","17927394","2441757","2110904"
1979,"585507076","124392810","441740591","17035892","23731317","6876312","5703915"
1980,"399204524","91448520","363070939","11076642","17354670","5790738","5262197"
1981,"576015624","134898692","363588323","9432484","13059986","3426525","3797332"
1982,"659429830","157338392","441731120","11660114","13736873","3977828","4231792"
1983,"376385968","108418304","505636994","11885663","11706501","4430261","4299989"
1984,"486602708","127811850","482077383","6806894","6560389","4711358","3891962"
1985,"732684868","192597712","514114313","10542610","10532285","7109284","5433946"
1986,"450740230","132556816","574232452","19311892","19648158","10381996","9334885"
1987,"436286656","132423918","401694182","17221008","19550888","6945401","8010660"
1988,"697166554","206663898","447538344","23035463","23500369","9956666","10894293"
1989,"547003724","200426374","503898469","37193135","39629959","11915687","13708295"
1990,"621704392","196704512","462929615","32641667","38022351","11508128","15865628"
1991,"407928562","129144238","513086282","31624605","37326961","10221130","15039508"
1992,"512257522","151416604","486955259","18615752","24367639","24029870","26550936"
1993,"508828146","148592528","562290435","25961681","37068036","42177411","40866879"
1994,"580408734","154666834","518579545","45083878","62415162","28610266","29590589"
1995,"596891184","132253840","437356482","93241968","91950181","26510937","29961038"
1996,"440375054","124400700","495262894","98933739","95528706","24702190","29208200"
1997,"535533584","128200102","534930215","68734563","110509057","28924983","36534490"
1998,"426622220","91412376","517815746","70468625","118523549","18637961","23714236"
1999,"622611764","117075892","579862267","55526181","107724553","23460712","28125691"
2000,"745834220","147179096","616101492","58003574","103702877","29681883","32116702"
2001,"593155518","98923988","598323048","56712365","93594811","31314103","35383852"
2002,"679192010","95367798","600394752","51335819","76987233","35465788","45804118"
2003,"537252556","86598870","572781221","54201358","88041212","44151695","68484915"
2004,"818829724","124951870","601343237","62749542","112570626","39200452","65203040"
2005,"650073062","140929372","711115782","65919253","126306853","62564517","120875182"
2006,"552766982","112997840","653571359","84631482","177566329","71324709","129746626"
2007,"781225678","143814556","616212342","96859125","216024851","89036693","185783385"
2008,"860223198","166910076","580945981","90808889","235884651","99566957","194296946"
2009,"683643528","143410052","679550353","100490855","250266857","86023485","132483328"
2010,"642820786","91475906","643306862","126955534","340993648","65570616","148387866"
2011,"921104534","164809206","672553986","136199143","397876826","65170313","155704050"
2012,"857603200","151646074","643569389","138075011","412170813","60439702","135953307"
2013,"743277338","147627520","720817130","129332922","403837997","56755915","139095767"
2014,"748536510","131159722","687248805","138799296","438117022","36077345","89238836"
2015,"885403428","140132408","712369284","138620978","382613608","38338590","81655009"
2016,"401100688","64280464","583810281","147697798","370253397","35583010","77326129"
2017,"971663578","153818256","610735252","175579755","453052608","49914400","110857951"
2018,"835505726","131181340","648636606","164745252","456000526","45319878","99656244"
2019,"805878516","0","833736865","162684925","449716224","50582698","104820820"
2020,"637024382","138015442","892823595","187883164","474876143","55786649","119704917"
2021,"974677500","329125652","915939652","191285184","520121668","88973275","178129218"
2022,"893707427","0","892181335","191884952","520647687","65435970","137129017"
2023,"915585740","199114832.01999998","903876940","183894931","533954661","84478134","206856434"
2024,"0","0","0","200479633","604228243","68106574","170175696"
